time_s,time_min,soc,temp_c,r0_ohm,r1_ohm,c1_f,r2_ohm,c2_f,v1_v,v2_v,q_ohmic_w,q_pol1_w,q_pol2_w,q_gen_w
1015.0,16.916666666666668,0.15416666666665035,49.26165690671856,0.01925228909338545,0.012427498420086978,33.31371190213881,0.007608166147700162,1510.0488964932317,0.10803299769784155,0.06317697654274425,1.4572057614783445,0.9398870799712215,0.5496396959218749,2.9467325373714406
1016.0,16.933333333333334,0.15333333333331703,49.262442100242225,0.01924604976070196,0.012436641795950295,33.199367199535544,0.007635305536738038,1511.0005774465153,0.10811153260633313,0.06342823363908007,1.456733506387531,0.9405703336750981,0.5518256326599965,2.9491294727226256
1017.0,16.95,0.1524999999999837,49.26327846514653,0.01924019800239785,0.012445897605671928,33.08752481829883,0.007662056429884654,1512.1261274456633,0.10819104031926119,0.06367722744266165,1.4562905868014928,0.9412620507775723,0.5539918787511563,2.9515445163302214
1018.0,16.966666666666665,0.15166666666665038,49.26416626738014,0.019234739626609876,0.012455266375194776,32.9782001527508,0.007688405601852234,1513.4280686938255,0.10827152534905841,0.06392386742223857,1.4558774423381011,0.9419622705368081,0.5561376465734755,2.953977359448385
1019.0,16.983333333333334,0.15083333333331705,49.265105765321536,0.019229680495098236,0.01246474863124652,32.871408889433276,0.007714339722719798,1514.9090033975144,0.10835299221391652,0.06416806234413773,1.4554945166739852,0.9426710322610736,0.5582621423939982,2.956427691329057
1020.0,17.0,0.14999999999998373,49.266097209754655,0.019225026524520007,0.012474344901345547,32.76716702524178,0.007739845362991984,1516.571616627976,0.10843544543778658,0.06440972030764819,1.455142257640919,0.9433883753087431,0.5603645666765392,2.9588951996262014
1021.0,17.016666666666666,0.1491666666666504,49.26714084385367,0.01922078368773441,0.01248405571380657,32.66549088596061,0.007764908998881168,1518.4186792850762,0.10851888955037654,0.06464874878188304,1.454821117324617,0.9441143390882758,0.5624441144023824,2.9613795708152755
1022.0,17.033333333333335,0.14833333333331708,49.26823690317706,0.01921695801514064,0.012493881597746004,32.566397145212306,0.007789517017814902,1520.4530511682703,0.10860332908714318,0.064885054644127,1.454531552165995,0.9448489630581456,0.5644999754039048,2.9638804906280454
1023.0,17.05,0.14749999999998376,49.26938561567143,0.01921355559604897,0.01250382308308725,32.469902843838184,0.007813655724170568,1522.6776841592464,0.10868876858927902,0.06511854421967718,1.4542740230649462,0.9455922867267273,0.5665313347111914,2.966397644502865
1024.0,17.066666666666666,0.14666666666665043,49.27058720168526,0.019210582580085848,0.01251388070056565,32.37602540972484,0.007837311345238879,1525.0956255211888,0.10877521260369521,0.06534912332318278,1.4540489954866975,0.9463443496521483,0.5685373729116902,2.9689307180505358
1025.0,17.083333333333332,0.1458333333333171,49.271841873993,0.019208045178633712,0.01252405498173331,32.2847826780944,0.007860470037417742,1527.7100213197396,0.10886266568299824,0.06557669730148788,1.4538569395707854,0.9471051914420846,0.5705172665229445,2.9714793975358145
1026.0,17.1,0.14499999999998378,49.27314983782981,0.019205949666306187,0.012534346458963619,32.196192912275556,0.007883117892637542,1530.5241199710258,0.1089511323854624,0.06580117107797977,1.4536983302427149,0.9478748517535228,0.5724701883784239,2.9740433703746616
1027.0,17.116666666666667,0.14416666666665046,49.27451129093726,0.01920430238245965,0.0125447556654556,32.11027482497423,0.007905240945019027,1533.5412759223655,0.10904061727499585,0.06602244919844319,1.4535736473283707,0.9486533702924639,0.5743953080264557,2.9766223256472903
1028.0,17.133333333333333,0.14333333333331713,49.275926423620255,0.01920310973274177,0.012555283135238004,32.02704760006297,0.00792682517776431,1536.7649534715656,0.10913112492110179,0.06624043587841957,1.4534833756712242,0.9494407868135855,0.5762917921422502,2.97921595462706
1029.0,17.15,0.1424999999999838,49.277395418815644,0.01920237819067788,0.012565929403173113,31.946530914909186,0.007947856530281527,1540.1987307309005,0.10922265989883341,0.06645503505206768,1.4534280052524082,0.9502371411198506,0.5781588049529888,2.981823951325248
1030.0,17.166666666666668,0.14166666666665048,49.2789184521727,0.019202114299296084,0.012576695004960408,31.868744963264028,0.00796832090554343,1543.8463037423096,0.10931522678874267,0.0666661504225207,1.4534080313137203,0.9510424730620611,0.5799955086759301,2.9844460130517114
1031.0,17.183333333333334,0.14083333333331716,49.28049569214583,0.01920232467279195,0.012587580477139879,31.793710478732866,0.007988204177679547,1547.711490750538,0.10940883017682346,0.06687368551373238,1.4534239544836225,0.951856822538364,0.5818010639694716,2.987081840991458
1032.0,17.2,0.13999999999998383,49.282127300099916,0.01920301599823357,0.012598586357095138,31.721448758851693,0.008007492199801815,1551.7982366413023,0.10950347465444787,0.06707754372380272,1.4534762809062984,0.9526802294936965,0.5835746303970836,2.9897311407970784
1033.0,17.216666666666665,0.1391666666666505,49.283813430428474,0.019204195037308122,0.01260971318305622,31.651981689792798,0.008026170812062779,1556.1106175519722,0.1095991648182959,0.06727762837977165,1.4535655223738515,0.9535127339191742,0.5853153669040133,2.992393623197039
1034.0,17.233333333333334,0.13833333333331718,49.285554230685044,0.01920586862811059,0.012620961494102176,31.585331771725176,0.008044225849945345,1560.6528456625274,0.10969590527027817,0.06747384279386678,1.4536921964616902,0.95435437585142,0.587022432306641,2.9950690046197512
1035.0,17.25,0.13749999999998386,49.2873498417281,0.019208043686975877,0.012632331830163377,31.52152214485654,0.008061643152782856,1565.4292741749723,0.10979370061745192,0.06766609032118878,1.4538568266672038,0.9552051953718316,0.5886949857943423,2.997757007833378
1036.0,17.266666666666666,0.13666666666665053,49.28920039787979,0.019210727210355112,0.012643824732023483,31.460576616183754,0.008078408572507646,1570.4444024898248,0.10989255547192943,0.06785427441881596,1.4540599425517782,0.9560652326057859,0.5903321874436988,3.0004573626012627
1037.0,17.283333333333335,0.1358333333333172,49.291106027098806,0.019213926276737275,0.012655440741321201,31.402519686981005,0.008094507982626096,1575.702881588643,0.10999247445077852,0.06803829870630676,1.454302079886244,0.956934527721773,0.5919331987448687,3.0031698063528856
1038.0,17.3,0.13499999999998388,49.293066851167715,0.019217648048617177,0.012667180400551727,31.347376581056118,0.008109927287417846,1581.2095196320968,0.11009346217591588,0.06821806702757653,1.4545837807998339,0.9578131209304681,0.5934971831399157,3.005894084870218
1039.0,17.316666666666666,0.13416666666665056,49.29508298589505,0.019221899774510796,0.012679044253067857,31.295173273805734,0.008124652431356277,1586.9692877834384,0.11019552327399165,0.06839348351412242,1.4549055939327218,0.9587010524837273,0.595023306572865,3.008629952989314
1040.0,17.333333333333332,0.13333333333331723,49.297154541332425,0.019226688791019266,0.012691032843080851,31.245936522103165,0.008138669408747143,1592.9873262678298,0.1102986623762657,0.06856445264956754,1.455268074592248,0.9595983626735115,0.5965107380512376,3.011377175316997
1041.0,17.35,0.1324999999999839,49.29928162200703,0.019232022524942417,0.012703146715660958,31.199693895052675,0.008151964273581882,1599.26895067848,0.11040288411847546,0.06873087933549284,1.4556717849128913,0.9605050918307364,0.5979586502187876,3.014135526962415
1042.0,17.366666666666667,0.13166666666665058,49.30146432716973,0.019237908495443226,0.012715386416737633,31.156473805646478,0.008164523149601553,1605.819658541007,0.11050819314069431,0.06889266895852246,1.4561172940200975,0.9614212803240404,0.5993662199391454,3.0169047942832834
1043.0,17.383333333333333,0.13083333333331726,49.30370275105913,0.01924435431626436,0.012727752493099456,31.11630554336189,0.008176332240567128,1612.6451361481659,0.11061459408718093,0.06904972745862559,1.4566051781980491,0.962346968558474,0.6007326288900425,3.019684775646566
1044.0,17.4,0.12999999999998393,49.305996983181785,0.019251367697997988,0.01274024549239365,31.079219307738086,0.008187377840731296,1619.7512656775648,0.11072209160621894,0.06920196139859497,1.4571360210614674,0.9632821969741048,0.6020570641677762,3.0224752822033487
